"papers_name","papers_url","papers_autor","papers_periodo"
"Un enfoque interdisciplinario para la investigación en agroecología y desarrollo rural en el trópico latinoamericano","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6865","Méndez, V.E.; Gliessman, S.R.","2002"
"Control biológico de malezas en sistemas acuáticos y en áreas pantanosas en los Estados Unidos","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5967","Cuda, J.; Buckingham, G.; Medal, J.","2004"
"Biología y enemigos naturales de Tetranychus urticae en pimentón","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5830","Gallardo, A.; Vásquez, C.; Morales, J.; Gallardo, J.","2005"
"Diagnóstico sobre el conocimiento y manejo de Bemisia tabaci por los productores del norte nicaragüense","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6041","Nunes, C.; Lucas, E.; Coderre, D.","2005"
"Identificación de posibles biotipos de Tagosodes orizicolus en diferentes zonas arroceras de Colombia","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6358","Meneses, R.; Reyes, L.; Calvert, L.; Triana, M.; Cuervo, M.; Duque, M.C.","2005"
"Riqueza y abundancia de hongos entomógenos en tres sistemas de manejo de cacao en Choroní, Venezuela","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6788","Rojas, T.; Goitía, W.","2004"
"Adelaida Chaverri: ecóloga de tierras altas, conservacionista genuina","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5743","Kapelle, M.; Cleef, A.M.","2004"
"Cobertura muerta y arvenses en la asociación Lactuca sativa - Allium ampeloprasum","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/5894","Contreras, O.; Moreno, F.","2005"
"Prácticas agroecológicas para mejorar la producción y la seguridad alimentaria en huertos caseros en Nicaragua Central","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/7212","Arrieta Bolaños, Sebastián","2015"
"Luis Angel Salas Fonseca (1915-1999): maestro del diagnóstico agrícola","http://repositorio.bibliotecaorton.catie.ac.cr/handle/11554/6525","Ochoa, R.","2005"
